25;1
26;7
27;22
28;28
29;63
30;93
31;135
32;177
33;224
34;306
35;420
36;508
37;607
38;778
39;922
40;1082
41;1279
42;1429
43;1642
44;1756
45;1846
46;2038
47;2066
48;2007
49;2081
50;2053
51;2039
52;1969
53;1846
54;1741
55;1673
56;1549
57;1478
58;1289
59;1249
60;1193
61;1026
62;959
63;948
64;910
65;868
66;786
67;801
68;771
69;776
70;848
71;812
72;820
73;801
74;880
75;903
76;850
77;890
78;938
79;935
80;916
81;924
82;847
83;951
84;935
85;965
86;994
87;1015
88;1072
89;1108
90;1124
91;1224
92;1194
93;1346
94;1413
95;1557
96;1628
97;1791
98;1853
99;2105
100;1930
101;1899
102;1941
103;1840
104;1763
105;1737
106;1588
107;1498
108;1466
109;1336
110;1369
111;1389
112;1363
113;1442
114;1381
115;1336
116;1409
117;1464
118;1544
119;1517
120;1626
121;1789
122;1790
123;1878
124;2061
125;2097
126;2311
127;2300
128;2385
129;2483
130;2390
131;2262
132;2235
133;2116
134;1993
135;1858
136;1929
137;1889
138;2040
139;2128
140;2270
141;2270
142;2341
143;2433
144;2466
145;2409
146;2214
147;2340
148;2285
149;2202
150;2314
151;2327
152;2374
153;2611
154;2723
155;2690
156;2673
157;2493
158;2391
159;2286
160;2062
161;1846
162;1769
163;1628
164;1454
165;1403
166;1370
167;1247
168;1201
169;1241
170;1139
171;1187
172;1350
173;1242
174;1225
175;1184
176;1190
177;1236
178;1108
179;950
180;919
181;820
182;790
183;681
184;626
185;619
186;641
187;691
188;647
189;664
190;726
191;815
192;825
193;912
194;926
195;1016
196;876
197;880
198;892
199;824
200;843
201;910
202;848
203;868
204;905
205;987
206;947
207;1067
208;1104
209;1032
210;936
211;1048
212;939
213;814
214;689
215;562
216;502
217;379
218;379
219;309
220;218
221;238
222;206
223;175
224;119
225;78
226;69
227;55
228;55
229;22
230;20
231;8
232;7
233;6
234;8
235;1
238;1
242;2
244;1
245;1
